
1,Carlo Abate,Country,Championships,Entries,Points
144,EugÃ¨ne Chaboud, Italy,0,98,31
145,Jay    Chamberlain, Italy,0,3,0
146,Karun    Chandhok, United States,0,8,"6,5"
147,Alain de    Changy, Italy,0,14,"19,5"
148,Colin Chapman, Venezuela,0,23,1
149,Dave Charlton, Italy,0,214,59
150,Pedro Matos    Chaves, France,0,47,89
151,Bill    Cheesbourg, France,0,3,1
152,Eddie Cheever, United States,0,3,0
153,Andrea Chiesa, India,0,11,0
154,Max Chilton, Belgium,0,1,0
155,Ettore    Chimeri, United Kingdom,0,1,0
156,Louis Chiron, South Africa,0,14,0
157,Joie Chitwood, Portugal,0,13,0
158,Bob Christie, United States,0,4,0
159,Johnny Claes, United States,0,143,70
160,David Clapham,  Switzerland,0,10,0
161,Kevin Cogan, United Kingdom,0,35,0
162,Peter Collins, Venezuela,0,1,0
163,Bernard    Collomb, Monaco,0,19,4
164,Alberto    Colombo, United States,0,1,1
165,Ãrik Comas, United States,0,7,0
166,Franco    Comotti, Belgium,0,25,0
167,George Connor, South Africa,0,1,0
168,George Constantine, United Kingdom,"2    (1963, 1965)",73,255 (274)
169,John Cordts, United States,0,2,0
170,David    Coulthard, United Kingdom,0,35,47
171,Piers Courage, France,0,6,0
172,Chris Craft, Italy,0,3,0
173,Jim Crawford, France,0,63,7
174,Ray Crawford, Italy,0,2,0
175,Alberto    Crespo, United States,0,4,0
176,Antonio Creus, United States,0,1,0
177,Larry    Crockett, Canada,0,1,0
178,Tony Crook, United Kingdom,0,247,535
179,Art Cross, United Kingdom,0,29,20
180,Geoffrey Crossley, United Kingdom,0,2,0
181,JÃ©rÃ´me d'Ambrosio, United Kingdom,0,2,0
182,Chuck Daigh, United States,0,5,0
183,Yannick    Dalmas, Argentina,0,1,0
184,Derek Daly, Spain,0,1,0
185,Christian    Danner, United States,0,1,0
186,Jorge Daponte, United Kingdom,0,2,0
187,Anthony    Davidson, United States,0,4,8
188,Jimmy Davies, United Kingdom,0,2,0
189,Colin Davis, Belgium,0,20,0
190,Jimmy Daywalt, United States,0,6,0
191,Patrick Depailler, France,0,49,0
192,Pedro Diniz, Ireland,0,64,15
193,Duke Dinsmore, Germany,0,47,4
194,Frank Dochnal, Argentina,0,2,0
195,JosÃ© Dolhem, United Kingdom,0,24,0
196,Martin Donnelly, United States,0,8,4
197,Mark Donohue, United Kingdom,0,2,0
198,Robert    Doornbos, United States,0,10,0
199,Ken Downing, France,0,95,139 (141)
200,Bob Drake, Brazil,0,99,10
201,Paddy Driver, United States,0,6,0
202,Piero Drogo, United States,0,1,0
203,Bernard de Dryver, France,0,3,0
204,Geoff Duke, United Kingdom,0,15,0
205,Johnny Dumfries, United States,0,16,8
206,Len Duncan, Monaco,0,11,0
207,Piero Dusio, United Kingdom,0,2,0
208,Jean-Denis DÃ©lÃ©traz, United States,0,1,0
209,George Eaton, South Africa,0,2,0
210,Bernie Ecclestone, Italy,0,1,0
211,Don Edmunds, Belgium,0,2,0
212,Guy Edwards, United Kingdom,0,1,0
213,Vic Elford, United Kingdom,0,16,3
214,Ed Elisian, United States,0,4,0
215,Paul Emery, Italy,0,1,0
216,TomÃ¡Å¡ Enge,  Switzerland,0,3,0
217,Paul England, Canada,0,13,0
218,Harald Ertl, United Kingdom,0,2,0
219,Nasif EstÃ©fano, United States,0,2,0
220,Bob Evans, United Kingdom,0,17,0
221,Corrado Fabi, United Kingdom,0,13,8
222,Teo Fabi, United States,0,5,0
223,Pascal Fabre, United Kingdom,0,2,0
224,Carlo Facetti, Czech Republic,0,3,0
225,Luigi Fagioli, Australia,0,1,0
226,Jack Fairman, Sweden,0,76,9
227,Walt Faulkner, Austria,0,28,0
228,William Ferguson, Argentina,0,2,0
229,Maria Teresa de Filippis, United Kingdom,0,12,0
230,Ralph Firman, Italy,0,18,0
231,Ludwig Fischer, Italy,0,71,23
232,Rudi Fischer, France,0,14,0
233,Mike Fisher, Italy,0,1,0
234,Giancarlo Fisichella, Italy,0,7,28 (32)
235,John Fitch, United Kingdom,0,13,5
236,Christian Fittipaldi, Argentina,"5    (1951, 1954, 1955, 1956, 1957)",52,245    (277.64)
237,Wilson Fittipaldi, Italy,1 (1950),34,115.33    (127.33)
238,Theo Fitzau, United States,0,6,1
239,Pat Flaherty, South Africa,0,1,0
240,Jan    Flinterman, Italy,0,5,0
